param_id,name,value,units,scenario_dependent,scale_system,source_key,provenance,notes,used_by,range_low,range_high,range_kind
P-UFDF-ADSORP-LOSS,UF/DF membrane adsorption loss (additive),0.02,dimensionless,no,"protein UF/DF (adsorption figures are protein-specific, not oligonucleotide)",SRC-MILLIPORE-TFF,assumption,"Additive membrane-adsorption loss, tabulated at 0.02-0.10 (low) to 1.0-5.0 (high) for proteins depending on membrane material (SRC-MILLIPORE-TFF) - a protein-specific figure, no oligonucleotide value exists. See Q-036.",balance,,,
P-YLD-EVAP,Step yield: evaporation,98,percent,yes,ASSUMPTION — placeholder,,assumption,Flagged assumption. See Q-012.,balance,,,
P-YLD-DRY,Step yield: spray drying (of dryer feed solids),75,percent,yes,"sticky small molecule, 5-400 g (yield BEHAVIOUR transfers; the material does not - not a nucleic acid)",SRC-KAPIL-2025,assumption,"BAND: measured spray-dryer recoveries run 8.6-22% unoptimised and 61-89% optimised across 5-400 g (SRC-KAPIL-2025). Point value 75% is a representative OPTIMISED figure; range 61-89% is the optimised band. Optimised conditions transferred between scales, unoptimised ones did not, so the honest first-campaign starting assumption is the unoptimised 8.6-22%. Material is a sticky small molecule, not a nucleic acid. See Q-012.",balance,61,89,evidence
P-YIELD-OVERALL-PUB,"Overall mass yield, published ligation-built siRNA campaigns",,percent,no,"vendor GMP campaigns, ~1 kg batches; 2'-OMe/2'-F PS/PO siRNA",SRC-HONGENE-BROCHURE-2025,fact,"BAND (vendor-published): overall mass yields of 19-43% for kilogram-scale ligation-built siRNA (Inclisiran P-to-P 26%, Divalent P-to-P 19%, C-to-P 43%; SRC-HONGENE-BROCHURE-2025). No single point value is representative and none is asserted; the earlier 31 was an unsourced midpoint and has been removed. YIELD DEFINITION travels with the number: unoptimised, based on theoretical MEC, calculated from the lowest-yielding fragment. Documentation reality-check on the balance's step-yield product, NOT a balance input; the two use different definitions. Compare Q-012.",docs,19,43,evidence
P-CONC-LIG,Ligation reactor product concentration,15,g_L,no,demonstrated ~1 mM titre of a ~14-15 kDa duplex at 1 L scale (SRC-ALMAC-2023); not our kg-scale duplex,SRC-ALMAC-2023,assumption,"Flagged assumption, and re-scoped 2026-09-25 to AN UPPER BOUND rather than a titre. Anchored to the only demonstrated enzymatic-ligation concentration: ~1 mM in jacketed 1 L vessels (SRC-ALMAC-2023), which for a ~14-15 kDa duplex is ~14-16 g/L (arithmetic ours); 15 g/L used. WHAT THAT SENTENCE ACTUALLY SAYS is the concentration at which synthesis was ACHIEVED, and the paper reports no conversion, yield or purity anywhere - verified by counting: the whole text contains exactly ONE percent sign, in '100% v/v methanol'. So the real product titre is lower than 15 g/L by an unstated margin and this row is a CEILING on the titre, which matters because it is used_by=balance and a ceiling read as a titre oversizes nothing but undersizes the vessel. The vendor 'up to 100 g/L' is a substrate LOAD, not a product titre, and the previously carried '30 g/L titre' is NOT in SRC-CODEXIS (Q-034). The span 1.5-10 mM that brackets the segment charge is NOT a range and is registered separately (P-LIG-SEG-CONC, Q-064). See Q-016.",balance,,,
P-CONC-UF,UF max achievable concentration,150,g_L,no,ASSUMPTION - siRNA basis; charged membrane raised achievable concentration from 52 to >180 mg/mL (bench),SRC-ZYDNEY-2024,assumption,"Flagged assumption, on an siRNA (not total solids) basis to match the cited literature. Charged membranes raised achievable siRNA concentration from 52 to >180 mg/mL (SRC-ZYDNEY-2024) and to ~193 g/L in the ligand-density follow-up (SRC-ZYDNEY-2025, abstract); 200 mg/mL at >=95% yield and <15 cP was reached for a single-strand antisense oligo (SRC-GRONKE-2023). Viscosity is NOT what stops it. 150 g/L kept as a conservative placeholder. Decides whether evaporation is needed. See Q-017.",balance,,,
P-CONC-EVAP,Evaporator outlet concentration (total dissolved solids),160,g_L,no,"ASSUMPTION, TOTAL SOLIDS basis; anchor is single-strand ASO solution (NOT an siRNA duplex, NOT a dryer feed)",SRC-PMC7415879,assumption,"Flagged assumption on a TOTAL dissolved solids basis. Anchored to the maximum 160 mg ASO/g solution achieved in manufacture by thin-film evaporation (SRC-PMC7415879) - a single-strand antisense oligonucleotide, a different molecular form from our duplex, and an API-basis number carried onto our total-solids basis. TRAP: that paper's 'few hours' is a batch cycle time, NOT a fluid residence time - do not cite it as one. See Q-018 and the balance method page.",balance,,,
P-CONC-DRYFEED,Spray-dryer feed solids,30,percent_w_w,no,ASSUMPTION — placeholder,,assumption,Flagged assumption; sets dryer water load. See Q-019.,balance,,,
P-DF-DIAVOL,Diafiltration diavolumes for buffer exchange,7,dimensionless,no,general diafiltration theory (molecule-independent); confirmed on a nucleic-acid process at 4-6 DV,SRC-PALL-TFF,assumption,"Flagged assumption. Diafiltration clearance is molecule-independent theory (EQ-DIAF): the vendor diavolume table reproduces the site's removal percentages exactly (SRC-PALL-TFF; 5 DV=99.3%, 7 DV=99.9%) and the same relation the protein/mAb literature uses (SRC-BPT-TFF) applies unchanged to a nucleic acid, documented at 4-6 diavolumes (SRC-HUSSON-CIRCRNA-2025). See Q-020.",balance,,,
P-EXCIPIENT-RATIO,Excipient : API mass ratio (spray dry),1.0,dimensionless,no,ASSUMPTION — placeholder (trehalose matrix),SRC-SIRNA-LABELS,assumption,"Flagged assumption (trehalose matrix). Reframed by F-024: the excipient is a DRYING and POWDER-PROPERTY aid, not a chemical stabiliser - approved siRNA products are stable at 160-200 mg/mL in near-pure water and four of seven carry no weighed excipient (SRC-SIRNA-LABELS). So the ratio is set by what the DRYER needs, not the molecule; no dried siRNA product has ever been approved, so no ratio transfers. See Q-021.",balance,,,
P-EXCIP-FRAC-PRE-EVAP,Fraction of excipient load already in solution at the evaporator,0,dimensionless,no,ASSUMPTION - base case adds bulk excipient after evaporation,,assumption,"0 = all excipient added after evaporation (base case); 1 = full load present at the final DF. Risk R-005 requires salts exchanged OUT at final DF but not the excipient load IN. Setting this to 1 with the current concentration placeholders leaves evaporation with almost no duty. See Q-038, Q-021.",balance,,,
P-EVAP-MIN-WETRATE,Minimum wetting rate - falling-film evaporator (water),,kg_m_s,no,"water on vertical stainless steel; NOT a polyelectrolyte solution, so surface tension and contact angle dominate and the transfer to our matrix is plausible but unproven",SRC-HUGHES-2024,fact,"BAND: reported minimum wetting rate 0.10-0.22 kg/m/s for water on vertical steel (SRC-HUGHES-2024). Sets evaporator turndown (R-013, R-004): below it the film breaks into rivulets and dry patches foul, so a small batch must recirculate rather than run single-pass. Water, not our matrix; the transfer is plausible but unproven. See Q-018.",docs,0.10,0.22,evidence
P-CP-SOLN,Specific heat of the process solution,4.18,kJ_kg_K,no,dilute aqueous stream approximated as water,SRC-STEAMTAB,inference,"Dilute aqueous solution approximated as water (4.18 kJ/kg/K, the cited steam-table value); drives the evaporator sensible-heat term. Our concentrated polyelectrolyte matrix will differ slightly. See Q-045.",balance,,,
P-DRYGAS-CP,Specific heat of the drying gas,1.0,kJ_kg_K,no,air or nitrogen at drying temperatures (standard value),,inference,"Standard specific heat of air/N2 near drying temperatures (~1.0 kJ/kg/K); drives the derived drying-gas mass and the heater duty. NO PRIMARY SOURCE IS REGISTERED for this constant, which is why it is flagged inference rather than fact - it is a standard textbook value, not our reasoning, and registering a primary gas-properties source is an open action. Air is ~1.005-1.01 and N2 ~1.04, so 'air or nitrogen' is not a single value. See Q-046.",balance,,,
P-EVAP-T-FEED,Evaporator feed temperature,20,degC,no,ASSUMPTION - placeholder (near-ambient feed),,assumption,Temperature of the retentate entering the evaporator; sensible heat raises it to the vacuum boiling point. Placeholder pending the thermal operating point. See Q-045.,balance,,,
P-EVAP-T-BOIL,Evaporator boiling temperature under vacuum,50,degC,no,ASSUMPTION - vacuum operating point chosen to protect the duplex,,assumption,"BAND: vacuum boiling point held low (40-60 C) so the duplex is never heated near its Tm; 50 C is the representative point. Boiling-point elevation rises as solutes concentrate (EQ-EVAP, EQ-BPE). See Q-045.",balance,40,60,design_intent
P-DRY-T-IN,Spray-dryer inlet gas temperature,150,degC,no,ASSUMPTION - placeholder,,assumption,"Drying-gas inlet temperature. While the droplet is wet the particle sits near the wet-bulb temperature, far below the inlet gas (spray-drying finding), so a hot inlet does not heat the product to inlet temperature. Placeholder pending the drying design. See Q-046.",balance,,,
P-DRY-T-OUT,Spray-dryer outlet gas temperature,55,degC,no,ASSUMPTION - held below the duplex Tm,,assumption,"Outlet gas temperature held below the duplex melting temperature (Tm 58-64 C, Q-030) and used as a conservative proxy for the product; the powder must also stay below its moisture-shifted Tg (Q-039). Placeholder. See Q-046.",balance,,,
P-HEAT-LOSS-FRAC,Thermal loss fraction (evaporator and dryer),0.05,dimensionless,no,ASSUMPTION - placeholder (heat loss to surroundings),,assumption,"Fraction added ONCE to the evaporator and dryer PROCESS duties for heat loss to surroundings; 5% placeholder pending the thermal design. It is not applied to the gas enthalpy drop, which already contains wall losses. See Q-045.",balance,,,
P-DRY-T-AMBIENT,Drying-gas ambient temperature before the inlet heater,20,degC,no,ASSUMPTION - placeholder (near-ambient intake air),,assumption,"Temperature of the drying gas BEFORE the inlet heater. This is what makes the heater duty computable: UT-DRYGAS is inlet air/N2 heating, so the utility load is the gas mass times cp times (inlet - ambient), not the enthalpy drop across the dryer. Placeholder pending the drying design. See Q-046.",balance,,,
P-SOLN-DENSITY,Process solution density (evaporator feed basis),1.0,kg_L,no,ASSUMPTION - dilute aqueous approximated as water; a 150 g/L polyelectrolyte retentate runs nearer 1.05-1.08 kg/L,,assumption,"Density converting the evaporator feed VOLUME into the MASS the sensible-heat term needs. Until now this conversion was implicit - litres were used directly as kilograms - so an unregistered number was entering the balance where no provenance guard could see it. The approximation is weakest exactly where it is applied, at the concentrated retentate. Placeholder. See Q-045.",balance,,,
P-HBEL-DS,Health-based exposure limit (HBEL/PDE) for cleaning validation,,ug_day,no,ASSUMPTION - requires toxicology/PDE data that does not exist publicly for this molecule,SRC-WHO-TRS1044,assumption,"Value deliberately BLANK: no PDE/HBEL can be derived without toxicology data, which does not exist in the public record for this molecule, so it is registered as a gap rather than invented. The DERIVATION METHOD (PDE then MACO / limit per swab or rinse) is documented on the microbial page (SRC-WHO-TRS1044). Needed for cleaning validation of the shared, hard-to-clean evaporator and dryer (R-008, R-015). See Q-047.",docs,,,
P-N-BLOCKS,Number of blocks assembled per strand,3,dimensionless,no,demonstrated disconnections — 2/strand at 1 L and at kg GMP; 3/strand only at 0.1 mM in 96-well plates. Point value is OURS.,SRC-HONGENE-BROCHURE-2025,assumption,"Number of blocks ligated per strand, the exponent in the purity floor (EQ-PURITY). BAND (evidence): 2-3 per strand is what has been DEMONSTRATED. 2 per strand has three independent supports - the arm Almac took to 1 L at 1 mM (Approach 1, 4 blockmers, 2 ligation sites), Hongene's kg-scale GMP four-fragment inclisiran (SRC-HONGENE-BROCHURE-2025), and the four-fragment patisiran assembly. 3 per strand is demonstrated once, at 0.1 mM in 96-well plates (Almac Approach 3, 'the 6 blockmer strategy') - a 10x lower concentration and a plate-vs-1 L crossing that must travel with it. The POINT VALUE 3 is this project's assumed disconnection and remains an assumption, not the demonstrated case. The register's direction - more blocks means a lower floor - was re-checked and HOLDS, but only because EQ-PURITY freezes f while varying k; f is itself a function of block length, and the model does not say so. See Q-058, Q-011, Q-057.",analysis,2,3,evidence
P-LIG-ATP,Ligation ATP concentration,2,mM,no,"SI Table S1 of SRC-ALMAC-2023, titled 'Reaction conditions for RNAL screening' - 96-WELL PLATE SCREENING at 0.1 mM blockmer, which is 10x BELOW the 1 mM titre demonstrated in the 1 L vessel; the paper reports no ATP concentration for the 1 mM / 1 L run",SRC-ALMAC-2023,assumption,"The ATP concentration used in the SCREENING conditions of the only demonstrated fully modified siRNA ligation route (SRC-ALMAC-2023, SI Table S1). SCALE ATTRIBUTION CORRECTED 2026-09-25: this row previously claimed the figure for 'bench to 1 L'. It is not. Table S1 is titled 'Reaction conditions for RNAL screening' and runs at 0.1 mM blockmer in 96-well plates - a tenth of the demonstrated titre - and the paper reports neither ATP nor enzyme loading for the 1 mM / 1 L run. That is this repository's signature defect, a bench number wearing a pilot label, and it was present in two rows at once (see P-LIG-ENZ-LOAD). Q-040 IS ALSO REWRITTEN, because the tension is real but far weaker than this note claimed. The 'at least 4 mM ATP' sentence in SRC-WO2025262452 is verbatim and appears twice, but it is the STATEMENT OF THE PROBLEM THAT DOCUMENT'S INVENTION SOLVES, not an operating condition: the same document teaches 'less than about 4 mM ATP ... optionally ... 0.5 mM or less' (four occurrences), says its ATP regeneration system 'overcomes the requirement for high concentrations of ATP', and claims complete ligation with 'sub-stoichiometric quantities of ATP or AMP'. The ceiling side is softer than stated too - SRC-PBCV1-2014 reports little inhibition at 1 mM ATP for most sequences. So there is NO window empty by 6-40x, and no such claim is written here; there is a coupling with a mechanism that reconciles it, registered in couplings.csv. The optimum still moves with the enzyme and its form (Q-050). See Q-040, R-010.",docs,,,
P-LIG-T,Ligation reaction temperature,25,degC,no,"cited ligation temperatures span 16-30 C across two patents and neither is our kg-scale batch; SRC-CN119265174 runs BATCH at both 16 C (Examples 3, 7) and 25 C (Example 8) and its packed-bed flow example at 25 C, and SRC-USPTO-10640812's 25 C examples are where two chemistries FAILED",SRC-CN119265174,assumption,"Placeholder, and CORRECTED 2026-09-25 - the previous note's claim that 'both cited ligation examples run at 25 C' is wrong in both legs and the agreement it inferred does not exist. Re-read against the documents: SRC-CN119265174 runs batch ligations at 16 C for 16 h (Examples 3 and 7) AND at 25 C for 16 h (Example 8), so one document alone spans 16-25 C in the same regime. Worse, 25 C IS WHERE THINGS FAILED in SRC-USPTO-10640812: in Example 10 with Mg2+ 'no full length product was detected' and full length appeared only with Mn2+, and in Example 11 the Chlorella virus (SplintR) ligase gave verbatim 'At 25 C ... no full length product was observed. At 30 C. and 37 C., full length product was detected.' So 25 C is a point at which two of three exemplified chemistries produced no full-length product, not a demonstrated optimum. THE CEILING NAMES THE WRONG LIMIT TOO: this row and R-003 imply the duplex melting band (P-DS-TM 58.1-64.1 C) bounds it from above, but every retrieved ligation temperature is 30 C or below and the binding limit is ENZYME stability, far below the duplex's. The enzyme figure is NOT carried: the document behind it could not be retrieved, and the two numbers that circulated are midpoints of residual-activity curves after a 60 min hold rather than melting temperatures, so they must never be set against P-DS-TM as like-for-like (Q-059). No range is written here because the retrieved temperatures are a mix of successes and failures across three enzymes, which is not a band. See Q-050, Q-010, Q-030.",docs,,,
P-LIG-TIME,Ligation reaction hold time (batch),,h,no,cited BATCH hold times only; the immobilised continuous-flow route is a different regime at 5-20 min residence (SRC-CN119265174) and is deliberately NOT folded into this band,SRC-USPTO-10640812,assumption,"BAND (evidence): cited batch ligation hold times - 16 h (SRC-USPTO-10640812) and 24 h at 4 C one-pot (SRC-NAR-2025). Point value deliberately BLANK: the endpoints are different enzymes at different temperatures, so the band brackets what has been demonstrated and is NOT a predicted hold time for our reaction. CORRECTED 2026-09-25: this note previously said that SRC-USPTO-10640812 reports RELATIVE PEAK AREA ONLY and so does not close Q-010. That blanket negative is FALSE and is struck. The patent defines conversion verbatim ('Conversion = product area/(template + product area) * 100'), has a table column headed 'Conversion (%)', and Example 13 Table 22 is a nine-point time series whose values were re-read character-for-character. So the 16 h endpoint is now backed by a CURVE rather than by a single sample: 88.10 percent at 14 h rising to 89.50 percent at 16 h, i.e. the last two hours buy 1.40 points and the reaction is plateauing. BUT THE TWO TABLES ARE NOT COMMENSURABLE AND MUST NOT BE POOLED - see P-LIG-CONV. WHAT IS STILL WRONG WITH THE BAND, and it is disclosed rather than repaired: the 24 h high endpoint could not be verified against its document this session, so this is one measurement plus one unverifiable endpoint, not two independent measurements. Recorded as such in envelopes.csv (bracket_verdict measurement_plus_unverifiable). CHEMISTRY CROSSING THAT MUST TRAVEL WITH THE LOW ENDPOINT: the 16 h figure and the curve behind it are on a 2'-MOE GAPMER whose linkages are stated verbatim to be 'all ... phosphodiester', with a NAD-dependent ligase - NOT our fully modified 2'-OMe/2'-F phosphorothioate duplex, and the same patent's phosphorothioate/MOE figures are 11.8 percent or less. So the endpoint is transferred across backbone and enzyme class, not measured in our system. Which regime even applies - a batch hold or a packed-column residence - depends on the enzyme form, which is undecided (Q-050). The 5-20 min immobilised flow regime stays excluded, for a better reason than 'a different regime': a 5 mL column holding grams of immobilised enzyme is a fundamentally different enzyme-to-substrate ratio. See Q-010.",docs,16,24,evidence
P-LIG-ENZ-LOAD,Ligase loading in the ligation reaction,,g_L,no,"no single scale or system can be stated: the cited loadings are in mutually inconvertible units, and the one most often quoted (1 mg/mL cell-free extract) is 96-WELL PLATE SCREENING at 0.1 mM blockmer (SRC-ALMAC-2023 SI Table S1), not the 1 L run",SRC-ALMAC-2023,assumption,"Value deliberately BLANK, on the P-HBEL-DS pattern: a registered gap, never invented. SCALE ATTRIBUTION CORRECTED 2026-09-25 - this row previously attributed 1 mg/mL of RNA ligase / PNK cell-free extract to '1 L scale'. SRC-ALMAC-2023's SI Table S1 is titled 'Reaction conditions for RNAL screening' and runs at 0.1 mM blockmer in 96-well plates; the paper reports NO loading for the 1 mM / 1 L run, so the guard on this row is vindicated and for a sharper reason than it carried. THE STRONGER REASON IS THAT A SINGLE LOADING CANNOT BE WRITTEN EVEN WITHIN ONE BRANCH, because the units do not convert: a Weiss unit is 'equivalent to approximately 200 cohesive end units (CEU)' on one vendor's own statement, a ~200x spread for the same enzyme, and neither assay uses our bond - SRC-PBCV1-2014 measures a ~100x drop in kcat for one enzyme between the all-DNA and RNA-splinted versions of the same sequence. Five mutually inconvertible loading units are in use across the estate, two of them inside one patent, and the bridge quantities that would reconcile them (specific activity in U/mg, a ligase mass beside a unit figure, an immobilisation yield) are absent everywhere. The loadings are therefore carried as PER-BRANCH rows in envelopes.csv, each in its own units and each with its own scale, which is what that register exists for. Also struck: SRC-CODEXIS-PATENTS' '0.01 g/L to about 50 g/L' must NOT be used to bracket this row - its subject is a single-stranded RNA ligase in a family with zero occurrences of 'splint', and in a sibling family the same range attaches to a purine nucleosidase. Stating any loading here would silently pick a form. See Q-050, Q-032, R-017.",docs,,,
P-DS-TM,Duplex melting temperature (Tm),,degC,no,"bench UV thermal denaturation, 21-nt siRNA duplexes with THREE modified guide-strand positions in 100 mM NaCl - NOT a fully modified duplex and NOT our sequence (SRC-MALEK-2019)",SRC-MALEK-2019,assumption,"BAND: 58.1 C for the unmodified parent 21-mer, up to 64.1 C with 2'-F at three positions (SRC-MALEK-2019, Table 1). Point value deliberately BLANK: the authors report a +1 to +2 C/nt increment measured over THREE positions, and extrapolating it across all 21 positions of our fully modified duplex would invent a number. The band is what is measured; our sequence's Tm is unknown (Q-030). Tm sits ABOVE the moisture-shifted powder Tg of 38-53 C (P-DS-TG), so Tg binds first and Tm is the looser limit (Q-039). Also the reference for R-021: an 85 C enzyme denature hold sits well above this band. See R-003.",docs,58.1,64.1,evidence
P-DS-TG,Glass transition of the dried product at its residual moisture,,degC,no,"bench; spray-dried trehalose siRNA POLYPLEX formulations, their matrix and their achieved moisture, not ours (SRC-KEIL-2021)",SRC-KEIL-2021,assumption,"BAND: measured Tg 38-53 C for spray-dried trehalose siRNA formulations at 3.8-4.6% residual moisture (SRC-KEIL-2021; NOT the 117 C anhydrous-trehalose figure an earlier draft carried). Point value deliberately BLANK: Tg is a function of OUR matrix and OUR achieved moisture (EQ-TG, Gordon-Taylor), neither of which is fixed - the excipient ratio is open (Q-021, P-EXCIPIENT-RATIO) and so is where it enters (Q-038). This is the BINDING thermal limit on drying and storage, tighter than Tm (P-DS-TM, Q-030). See Q-039, R-003.",docs,38,53,evidence
P-DS-RESID-MOISTURE,Residual moisture in the dried product,,percent_w_w,no,"bench; spray-dried trehalose siRNA POLYPLEX formulations at their own dryer conditions, not ours (SRC-KEIL-2021)",SRC-KEIL-2021,assumption,"BAND: 3.8-4.6% w/w residual moisture measured on the trehalose formulations whose Tg was 38-53 C (SRC-KEIL-2021); their mannitol formulations dried far further, to 0.2-0.4%. Point value deliberately BLANK: residual moisture is an OUTCOME of our dryer outlet temperature and matrix (P-DRY-T-OUT, Q-046, Q-021), not an input we may assert. It is carried because it is the moisture at which that Tg band was measured - quoting the Tg without it would detach the number from its condition (EQ-TG). See Q-039.",docs,3.8,4.6,evidence
P-ENZ-CLEARANCE-LRV,"Enzyme (ligase) clearance, log reduction",,log10,no,no scale or system: no such measurement exists in the public record for either enzyme form,,assumption,"Value deliberately BLANK, on the P-HBEL-DS pattern: a registered gap, never invented. No ppm, log-reduction, immunoassay or total-protein figure for ligase clearance exists in any patent, paper or vendor document the source dive read, and it read the whole relevant patent estate (Q-032). A full-text search of the strongest immobilised route for 'residual protein', 'ppm', 'ng/mg', 'ELISA', 'log reduction' and 'host cell' returns ZERO hits (SRC-CN119265174). This is the linchpin of the chromatography-free thesis (R-002), and it is blank for BOTH branches of Q-050, not just the immobilised one. See Q-032, Q-050, R-002, R-017, R-021.",docs,,,
P-EPS-260,Mass extinction coefficient at 260 nm (duplex),,mL_mg_cm,no,nucleic acid generally; SEQUENCE-SPECIFIC in reality and our sequence is not fixed,,assumption,"BAND: 20-25 mL/mg/cm, bracketing the standard A260 = 1 conversions for nucleic acid (about 40-50 ug/mL at 1 cm) and allowing for duplex hypochromicity. Point value deliberately BLANK: the coefficient is sequence-specific, so a single number would assert a quantitation basis we do not have. Used ONLY to decide whether an in-line optical reading is geometrically possible on a stream (gen/controls.py), never to quantify anything. See Q-052, Q-042.",docs,20,25,argued
